16 4842 19177
0 295 -0.105086 -0.288978
1 295 -0.0592222 -0.303307
0 296 0.00231177 -0.298913
1 296 0.0401494 -0.317636
0 297 -0.0848294 -0.301205
1 297 -0.0389656 -0.317254
0 298 -0.114641 0.579176
1 298 -0.0343793 0.501226
0 299 -0.12152 0.579176
1 299 -0.0412588 0.501226
0 300 -0.208662 0.544786
1 300 -0.123814 0.478299
0 301 -0.222421 0.540201
1 301 -0.139866 0.473714
0 302 -0.105468 -0.422716
1 302 -0.0573112 -0.430358
0 303 -0.0756566 -0.37457
1 303 -0.0343793 -0.386034
0 304 -0.0756566 -0.369985
1 304 -0.0343793 -0.381448
0 305 0.00460494 -0.347058
1 305 0.0435892 -0.360814
0 306 0.02983 -0.328717
1 306 0.0642279 -0.344766
0 307 -0.080243 -0.326424
1 307 -0.0389656 -0.342473
0 308 -0.153625 -0.1155
1 308 -0.094257 -0.136134
0 309 -0.0894158 -0.29662
1 309 -0.0458452 -0.312668
0 310 -0.29351 -0.0879878
1 310 -0.223567 -0.105565
0 311 -0.105468 -0.282864
1 311 -0.0618975 -0.298913
0 312 0.00919133 -0.282864
1 312 0.0497043 -0.300441
0 313 -0.055018 -0.14989
1 313 -0.0114474 -0.172816
0 314 -0.00915418 -0.266815
1 314 0.0321232 -0.285157
0 315 -0.100882 -0.259937
1 315 -0.055018 -0.275986
0 316 1.85742e-05 -0.257645
1 316 0.0390028 -0.278279
0 317 -0.100882 -0.253059
1 317 -0.055018 -0.269108
0 318 1.85742e-05 -0.250767
1 318 0.0390028 -0.271401
0 319 -0.0366724 -0.161353
1 319 0.00689813 -0.18428
0 320 -0.105468 -0.246181
1 320 -0.0596043 -0.26223
0 321 -0.00686098 -0.246181
1 321 0.0321232 -0.264523
0 322 -0.0297929 -0.165938
1 322 0.0137777 -0.188865
0 323 -0.0412588 -0.165938
1 323 0.00231177 -0.188865
0 324 -0.043552 -0.0237933
1 324 -0.000299985 -0.0549353
0 325 -0.00456782 -0.239303
1 325 0.0367096 -0.259937
0 326 -0.0940021 -0.232425
