16 4330 15933
1 174 -0.340518 -0.0835052
0 175 -0.427884 -0.0669205
1 175 -0.34273 -0.0835052
0 176 -0.313977 -0.11778
1 176 -0.243199 -0.134365
0 177 -0.0673616 -0.0790826
1 177 -0.0187021 -0.106724
0 178 -0.311765 -0.112252
1 178 -0.243199 -0.129942
0 179 -0.304024 -0.101195
1 179 -0.23767 -0.119991
0 180 -0.225505 -0.108935
1 180 -0.159151 -0.128836
0 181 -0.202281 -0.108935
1 181 -0.135927 -0.129942
0 182 -0.221081 -0.104512
1 182 -0.154727 -0.12552
0 183 -0.155833 -0.107829
1 183 -0.095009 -0.129942
0 184 -0.166892 -0.106724
1 184 -0.106068 -0.128836
0 185 -0.333883 -0.111146
1 185 -0.249835 -0.129942
0 186 -0.3372 -0.111146
1 186 -0.263105 -0.127731
0 187 -0.0872677 -0.0945616
1 187 -0.0363965 -0.119991
0 188 -0.316188 0.514647
1 188 -0.23214 0.454943
0 189 -0.381436 -0.090139
1 189 -0.2996 -0.108935
0 190 -0.228823 0.504697
1 190 -0.148092 0.441675
0 191 -0.123762 0.503591
1 191 -0.0463496 0.435041
0 192 -0.0341847 0.485901
1 192 0.0343809 0.414034
0 193 -0.0375024 0.484795
1 193 0.0310632 0.414034
0 194 -0.0408201 0.483689
1 194 0.0277455 0.411823
0 195 -0.0463496 0.482584
1 195 0.0222161 0.411823
0 196 -0.0297611 0.47595
1 196 0.0365927 0.405189
0 197 -0.0563026 0.393027
1 197 0.0155807 0.328899
0 198 0.252243 0.324477
1 198 0.292055 0.253716
0 199 -0.227717 0.300153
1 199 -0.143668 0.251504
0 200 -0.334989 0.297941
1 200 -0.225505 0.249293
0 201 -0.181269 0.274723
1 201 -0.0972208 0.224969
0 202 -0.196752 0.271406
1 202 -0.111597 0.222758
0 203 -0.114915 0.266983
1 203 -0.0341847 0.215018
0 204 -0.121551 0.264772
1 204 -0.041926 0.212807
0 205 -0.217764 -0.0724487
1 205 -0.154727 -0.0956672
0 206 -0.19454 0.255927
1 206 -0.109386 0.207279
0 207 -0.204493 0.243765
1 207 -0.119339 0.197328
0 208 -0.156939 -0.0691318
1 208 -0.0983267 -0.0923503
0 209 -0.201175 0.23492
1 209 -0.116021 0.189588
0 210 -0.198963 0.222758
1 210 -0.113809 0.178532
0 211 -0.328353 0.222758
1 211 -0.216658 0.179638
0 212 -0.113809 0.21723
1 212 -0.0341847 0.169687
0 213 -0.255364 -0.0647092
1 213 -0.182375 -0.0868221
0 214 -0.319506 0.210596
1 214 -0.207811 0.168581
0 215 -0.062938 -0.124414
1 215 -0.0164903 -0.147632
0 216 -0.0684675 -0.13547
1 216 -0.0220198 -0.159794
0 217 -0.42346 -0.059181
1 217 -0.3372 -0.0757657
0 218 -0.279694 0.179638
1 218 -0.169104 0.137623
0 219 -0.0651498 -0.157583
1 219 -0.0187021 -0.179696
0 220 -0.0662557 -0.159794
1 220 -0.0209139 -0.180802
0 221 -0.0717852 -0.165323
